Rank	Feature name	p-value	q-value	Direction	FeatureSum (%)	T2D metformin+ vs T2D metformin- q-value	ND CTRL vs T2D metformin- q-value	Superkingdom	Phylum	Class	Order	Family	Genus	Species
19	motu_linkage_group_443	0.000422687	0.007697358	NoDiab>> Metf = DT2	0.219866007	0.722911253	0.022740852	Bacteria	Firmicutes	Clostridia	?	?	?	?
27	Cluster1088	0.001630046	0.020888737	Metf = DT2 > NoDiab	0.961541929	0.701627992	0.023156879	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides distasonis
51	Cluster326	0.010353908	0.070244159	NoDiab > DT2 = Metf	0.055555069	0.887066954	0.023606139	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
74	Cluster1604	0.023505034	0.109901916	Metf = NoDiab > DT2	0.170833968	0.194098826	0.02594439	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans
31	motu_linkage_group_574	0.00214695	0.023962733	DT2 > NoDiab > Metf	0.021444496	0.587822881	0.027123768	Bacteria	?	?	?	?	?	?
55	motu_linkage_group_450	0.012441639	0.077545973	Metf = NoDiab > DT2	0.139522011	0.303953094	0.027269937	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
2	Cluster1533	6.89E-13	1.19E-10	DT2 > NoDiab>>>Metf	0.060588022	1.03E-07	0.031629724	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	?	[Clostridium] bartlettii
65	motu_linkage_group_394	0.017290812	0.092040322	Metf = NoDiab > DT2	0.405861303	0.09747338	0.033429442	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
17	motu_linkage_group_244	0.000203511	0.003935938	DT2 > NoDiab>>>Metf	0.150515786	0.539730588	0.034988888	Bacteria	Firmicutes	?	?	?	?	?
36	motu_linkage_group_274	0.00352413	0.033196062	NoDiab > Metf = DT2	0.375329328	0.64344089	0.035586196	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
53	motu_linkage_group_550	0.011818156	0.077142527	Metf>= NoDiab > DT2	0.197445843	0.91412594	0.036184638	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
5	motu_linkage_group_290	1.49E-06	1.03E-04	NoDiab > DT2 > Metf	0.533286693	0.03764635	0.03764635	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	?
60	motu_linkage_group_611	0.013696988	0.078985966	NoDiab>= Metf = DT2	0.178276064	0.832539009	0.038958845	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
10	Cluster1598	3.48E-05	0.001204293	Metf = DT2 > NoDiab	0.103019897	0.343437371	0.039257831	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium bolteae
116	Cluster1610	0.07137951	0.212907849	Metf = NoDiab > DT2	0.351104507	0.191454183	0.042513249	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	[Ruminococcus] torques
70	motu_linkage_group_566	0.020923918	0.1021917	Metf = NoDiab > DT2	0.040995811	0.187760684	0.043208683	Bacteria	Firmicutes	?	?	?	?	?
101	Cluster1273	0.05335311	0.182774019	Metf = NoDiab > DT2	0.001993095	0.528980902	0.043561456	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
22	motu_linkage_group_457	0.000653437	0.009668017	DT2 > NoDiab>> Metf	0.039003578	0.046624373	0.046624373	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
93	motu_linkage_group_437	0.045194545	0.168143148	Metf = NoDiab > DT2	0.095527239	0.367282035	0.047493531	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	?	?
58	motu_linkage_group_233	0.012999036	0.077545973	DT2 > NoDiab > Metf	0.187267253	0.990864875	0.048475348	Bacteria	?	?	?	?	?	?
89	motu_linkage_group_481	0.042052869	0.161760914	Metf = NoDiab > DT2	0.025663473	0.049675701	0.049675701	Bacteria	Firmicutes	?	?	?	?	?
21	motu_linkage_group_115	0.000524988	0.008649799	NoDiab>= DT2 = Metf	0.884908369	0.197511729	0.050319245	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
102	Cluster969	0.05435276	0.184373086	Metf = NoDiab>= DT2	0.080288431	0.628729629	0.053042567	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
76	Cluster1600	0.026070196	0.118687997	DT2 = Metf = NoDiab	0.030725762	0.192040264	0.055891892	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium symbiosum
96	motu_linkage_group_127	0.048759255	0.175736482	NoDiab = Metf = DT2	1.315159462	0.653400895	0.059080696	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile
50	Cluster1260	0.010347291	0.070244159	Metf>= NoDiab>= DT2	0.023629998	0.888433617	0.070687375	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella atypica
107	Cluster1577	0.062930219	0.201703059	NoDiab = Metf = DT2	1.240930558	0.594840553	0.073711663	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
73	Cluster1271	0.023241008	0.109901916	Metf>= NoDiab>= DT2	0.024358729	0.726311702	0.079214277	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	unnamed Coprobacillus sp. 29_1
84	motu_linkage_group_696	0.037939669	0.156275305	DT2>= Metf = NoDiab	0.017418444	0.080340832	0.080340832	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
40	motu_linkage_group_625	0.005139032	0.044387111	Metf > NoDiab>= DT2	0.050152487	0.93591156	0.086358217	Bacteria	Firmicutes	?	?	?	?	?
118	motu_linkage_group_121	0.074803274	0.219338414	Metf = NoDiab>= DT2	0.156381871	0.094173862	0.094173862	Bacteria	Firmicutes	?	?	?	?	?
37	motu_linkage_group_70	0.003549868	0.033196062	Metf>> NoDiab>= DT2	0.238483586	0.36643604	0.09970157	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus
86	Cluster1653	0.03946808	0.156750557	Metf = NoDiab = DT2	0.04544326	0.050816262	0.106540426	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Mitsuokella multacida
90	motu_linkage_group_470	0.042497991	0.161760914	NoDiab = DT2 = Metf	0.107064068	0.624328334	0.110861281	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
61	Cluster1578	0.014221784	0.080667823	Metf > NoDiab = DT2	0.004249693	0.586904942	0.1174365	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile
46	motu_linkage_group_260	0.006509769	0.048964783	NoDiab = DT2 = Metf	0.74139154	0.120421191	0.120421191	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
95	Cluster1008	0.047341226	0.172421727	Metf = DT2 = NoDiab	0.572520814	0.722220909	0.124524206	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia muciniphila
112	motu_linkage_group_771	0.06690444	0.206083786	DT2 = Metf = NoDiab	0.064771797	0.129235207	0.129235207	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
88	motu_linkage_group_391	0.039867194	0.156750557	Metf = NoDiab = DT2	0.716408308	0.506733513	0.130992491	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile
127	motu_linkage_group_104	0.096277442	0.262299172	NoDiab = Metf = DT2	1.377755938	0.912490387	0.137106012	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
94	Cluster1626	0.047178761	0.172421727	Metf = NoDiab = DT2	0.045683985	0.053054972	0.138531843	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	[Bacteroides] pectinophilus
153	motu_linkage_group_270	0.154099384	0.348486189	Metf = NoDiab = DT2	0.085256846	0.697949081	0.139849505	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
105	motu_linkage_group_74	0.060583718	0.199637776	Metf = NoDiab = DT2	0.072536757	0.170863576	0.143801579	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
109	motu_linkage_group_65	0.065859419	0.206083786	Metf = NoDiab = DT2	0.189725749	0.139176181	0.143873612	Bacteria	?	?	?	?	?	?
38	Cluster955	0.004346747	0.039578279	Metf > NoDiab = DT2	0.003977735	0.009645893	0.155861519	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa
164	Cluster1611	0.177545962	0.374578677	DT2 = Metf = NoDiab	0.281227626	0.611137092	0.16613077	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	[Ruminococcus] gnavus
67	motu_linkage_group_624	0.018189646	0.093934589	Metf>= NoDiab = DT2	0.103460103	0.795027202	0.167396458	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
69	motu_linkage_group_113	0.019409921	0.097330906	Metf > NoDiab = DT2	0.129495276	0.039043913	0.16838433	Bacteria	?	?	?	?	?	?
92	motu_linkage_group_734	0.043011573	0.161760914	Metf>= NoDiab = DT2	0.113196934	0.035453354	0.171423342	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
52	Cluster1263	0.01147335	0.076341908	Metf > NoDiab = DT2	0.020147345	0.175860723	0.175860723	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	unnamed Veillonella sp. oral taxon 158
20	motu_linkage_group_486	0.000485503	0.008399209	DT2 = NoDiab>>>Metf	0.081044771	0.418185181	0.177376122	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
139	motu_linkage_group_325	0.124115847	0.30858543	NoDiab = Metf = DT2	0.8708844	0.828550887	0.179621107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
114	motu_linkage_group_126	0.068562343	0.208092725	NoDiab = Metf = DT2	0.788270864	0.219486573	0.181936735	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
121	motu_linkage_group_151	0.080555294	0.230348195	DT2 = NoDiab = Metf	0.263862159	0.822457667	0.185651752	Bacteria	Firmicutes	?	?	?	?	?
159	Cluster1616	0.166037774	0.359490471	NoDiab = Metf = DT2	0.314183412	0.474446385	0.187127601	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes
99	motu_linkage_group_604	0.051881874	0.180763898	Metf = NoDiab = DT2	0.018368745	0.368731535	0.188348121	Bacteria	Firmicutes	?	?	?	?	?
110	Cluster1485	0.066042864	0.206083786	Metf = NoDiab = DT2	0.090462707	0.311864254	0.194655906	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum
137	Cluster1105	0.117771385	0.29743722	Metf = NoDiab = DT2	1.225316944	0.709924844	0.199291746	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius
144	Cluster1596	0.133521126	0.320821594	Metf = NoDiab = DT2	0.007727342	0.919688579	0.201404604	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
108	Cluster1621	0.062959336	0.201703059	Metf>= NoDiab = DT2	0.380746578	0.073598425	0.203740104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unnamed Ruminococcus sp. SR1_5
87	motu_linkage_group_238	0.039699524	0.156750557	NoDiab = DT2 = Metf	0.262513584	0.204005885	0.204005885	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
54	motu_linkage_group_131	0.012039585	0.077142527	Metf > NoDiab = DT2	0.644037383	0.065971611	0.210446869	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. HGB5
163	motu_linkage_group_161	0.174740587	0.370921736	Metf = NoDiab = DT2	0.100138623	0.690576222	0.21271445	?	?	?	?	?	?	?
103	Cluster1369	0.056097714	0.188444747	Metf = NoDiab = DT2	0.016040361	0.757671902	0.213962278	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
16	Cluster1624	0.000142277	0.003076737	Metf>>>NoDiab = DT2	0.024199972	0.392618913	0.215485949	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	unnamed Lachnospiraceae bacterium 3_1_57FAA_CT1
143	motu_linkage_group_26	0.131690146	0.318634898	Metf = NoDiab = DT2	0.035745946	0.217345295	0.217345295	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
147	motu_linkage_group_529	0.137083882	0.322660021	Metf = NoDiab = DT2	0.036989603	0.953166308	0.218478458	Bacteria	Firmicutes	?	?	?	?	?
136	motu_linkage_group_134	0.117350521	0.29743722	Metf = NoDiab = DT2	0.765793582	0.93075676	0.221828999	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
126	motu_linkage_group_333	0.089988675	0.247111758	Metf = DT2 = NoDiab	0.597817247	0.616245602	0.225188774	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
149	Cluster878	0.143184073	0.332494558	Metf = NoDiab = DT2	0.005263842	0.34655011	0.230257141	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
91	motu_linkage_group_565	0.042577703	0.161760914	Metf>= NoDiab = DT2	0.032705915	0.583100667	0.24312515	Bacteria	Firmicutes	?	?	?	?	?
29	motu_linkage_group_177	0.001855509	0.021795764	Metf>> NoDiab = DT2	0.09497504	0.00300644	0.247635295	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
157	motu_linkage_group_206	0.159239598	0.350935675	NoDiab = Metf = DT2	0.859500461	0.809546283	0.24803962	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
160	motu_linkage_group_241	0.166238368	0.359490471	NoDiab = Metf = DT2	0.381303264	0.433669924	0.252250017	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
44	motu_linkage_group_434	0.006265333	0.048964783	Metf>> NoDiab = DT2	0.039614794	0.256453394	0.256453394	Bacteria	Firmicutes	?	?	?	?	?
59	motu_linkage_group_586	0.013241689	0.077654652	Metf > NoDiab = DT2	0.066390949	0.990892356	0.282439861	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	?
146	Cluster1106	0.135409961	0.320903059	Metf = NoDiab = DT2	0.239284448	0.426201256	0.283839607	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprophilus
78	Cluster1657	0.028161312	0.124920694	Metf > NoDiab = DT2	0.075335719	0.283888742	0.283888742	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
168	Cluster1420	0.191029714	0.393430243	Metf = NoDiab = DT2	0.007794296	0.478099207	0.294808647	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis
135	motu_linkage_group_691	0.115706363	0.296551124	NoDiab = DT2 = Metf	0.035653625	0.501167766	0.297165561	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
30	motu_linkage_group_302	0.001889806	0.021795764	Metf>> NoDiab = DT2	0.091160894	0.087630017	0.309211708	Bacteria	Firmicutes	?	?	?	?	?
98	motu_linkage_group_504	0.05022559	0.177327082	DT2 = NoDiab>= Metf	0.056532462	0.066309105	0.318488907	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
169	motu_linkage_group_375	0.199044765	0.407511768	Metf = NoDiab = DT2	0.028393927	0.891222315	0.320015455	Bacteria	Firmicutes	?	?	?	?	?
45	Cluster756	0.006401456	0.048964783	Metf>> NoDiab = DT2	0.13601192	0.323532551	0.323532551	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia
79	motu_linkage_group_209	0.029574741	0.129529876	Metf > NoDiab = DT2	0.098623871	0.074797711	0.328378042	Bacteria	Firmicutes	?	?	?	?	?
39	Cluster1592	0.004882665	0.043318003	DT2 = NoDiab>> Metf	0.53428255	0.251873683	0.33005153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
167	motu_linkage_group_559	0.184319116	0.381882719	Metf = NoDiab = DT2	0.142426926	0.331287293	0.331287293	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
123	motu_linkage_group_85	0.085316673	0.239917301	Metf>= NoDiab = DT2	0.124382771	0.33269355	0.33269355	Bacteria	Firmicutes	?	?	?	?	?
122	motu_linkage_group_14	0.081516894	0.231187258	Metf = NoDiab = DT2	0.057191823	0.156283576	0.333270299	Bacteria	Bacteroidetes	?	?	?	?	?
142	motu_linkage_group_652	0.131141899	0.318634898	DT2 = Metf = NoDiab	0.059067058	0.199550006	0.342311767	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
152	motu_linkage_group_310	0.151548851	0.344973042	Metf = NoDiab = DT2	0.83095675	0.173268203	0.346111328	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
155	motu_linkage_group_451	0.157154565	0.349793289	Metf = NoDiab = DT2	0.026980469	0.515500914	0.352956512	Bacteria	Firmicutes	Clostridia	?	?	?	?
125	Cluster1570	0.086675326	0.239917301	Metf = NoDiab = DT2	0.01134701	0.82144184	0.353101831	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
165	motu_linkage_group_411	0.18061239	0.377448393	Metf = NoDiab = DT2	0.046825484	0.24836555	0.353827314	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
161	Cluster1376	0.169217551	0.363660079	Metf = NoDiab = DT2	0.049418234	0.366459355	0.366459355	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis
56	Cluster1281	0.012644205	0.077545973	Metf > NoDiab = DT2	0.023938885	0.341526881	0.372852229	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis
138	motu_linkage_group_140	0.119746005	0.300232736	Metf = NoDiab = DT2	0.093245447	0.378628876	0.378628876	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
140	Cluster817	0.124861157	0.30858543	DT2 = Metf = NoDiab	0.029418602	0.800845165	0.401740748	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta
106	Cluster1628	0.06273361	0.201703059	DT2 = NoDiab>= Metf	0.810262037	0.407033276	0.407033276	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus
3	motu_linkage_group_712	6.86E-12	7.92E-10	NoDiab = DT2>>>Metf	0.109897714	5.95E-05	0.407548826	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	?	?
130	motu_linkage_group_613	0.10109788	0.269075895	DT2 = Metf = NoDiab	0.26247424	0.143507535	0.422578064	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	?	Eubacterium biforme
80	motu_linkage_group_142	0.030522804	0.132011127	Metf > NoDiab = DT2	0.188267769	0.428775442	0.428775442	Bacteria	Firmicutes	?	?	?	?	?
33	motu_linkage_group_210	0.003263521	0.033196062	Metf>> NoDiab = DT2	0.112359144	0.078827226	0.429298758	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	?
117	Cluster1270	0.072920804	0.215646139	DT2 = NoDiab>= Metf	0.016696443	0.438434835	0.438434835	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	?	Clostridium spiroforme
82	motu_linkage_group_111	0.035836817	0.151213888	Metf > NoDiab = DT2	0.039017211	0.639043008	0.44070111	Bacteria	?	?	?	?	?	?
124	motu_linkage_group_49	0.086450206	0.239917301	Metf = NoDiab = DT2	0.095187292	0.175878281	0.445153402	Bacteria	Firmicutes	?	?	?	?	?
32	motu_linkage_group_404	0.002659961	0.028760826	DT2 = NoDiab>> Metf	0.107707553	0.080357519	0.456051017	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
111	motu_linkage_group_452	0.066369054	0.206083786	Metf>= NoDiab = DT2	0.055499159	0.159147665	0.458135155	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
81	motu_linkage_group_103	0.032015848	0.136759054	NoDiab = DT2 = Metf	0.762626718	0.460202139	0.460202139	Bacteria	Firmicutes	Clostridia	?	?	?	?
134	motu_linkage_group_240	0.114700785	0.296167699	Metf = NoDiab = DT2	0.100934826	0.476454624	0.476454624	Bacteria	Firmicutes	Clostridia	?	?	?	?
35	motu_linkage_group_600	0.003458888	0.033196062	DT2 > Metf>> NoDiab	0.068899661	0.04016784	0.48518191	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
83	motu_linkage_group_57	0.037871612	0.156275305	Metf > NoDiab = DT2	0.064934178	0.027321852	0.497105602	Bacteria	Firmicutes	?	?	?	?	?
104	Cluster968	0.057058979	0.189830835	Metf>= NoDiab = DT2	0.051872416	0.086165608	0.501490276	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
158	motu_linkage_group_124	0.160753723	0.352030304	Metf = NoDiab = DT2	0.068378695	0.193602434	0.503447556	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium siraeum
26	motu_linkage_group_308	0.001245882	0.016579811	DT2 = NoDiab>>>Metf	0.574125817	0.098794621	0.509096421	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
49	motu_linkage_group_120	0.008080926	0.057061234	DT2 = NoDiab>> Metf	0.30168334	0.17425778	0.524074026	Bacteria	Firmicutes	?	?	?	?	?
162	Cluster1100	0.172527858	0.368485425	Metf = NoDiab = DT2	4.176844121	0.527533437	0.527533437	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
63	motu_linkage_group_205	0.015182939	0.083335131	DT2 = NoDiab > Metf	0.180460358	0.260892236	0.530400264	Bacteria	Firmicutes	Clostridia	?	?	?	?
72	motu_linkage_group_136	0.022983405	0.109901916	DT2 = NoDiab > Metf	0.096711535	0.048407737	0.588421699	Bacteria	Firmicutes	?	?	?	?	?
